Symbol,MarketCap,CloseStart,CloseEnd,PctChange
ATCO-A.ST,878382088192,185.5,187.64999389648438,1.1590263592907681
ATCO-B.ST,878383464448,163.35000610351562,164.85000610351562,0.9182736112354005
ABB.ST,1118387568640,599.5999755859375,608.5999755859375,1.501000728228028
AZN.ST,2510338392064,1589.5,1583.5,-0.3774771940861906
INVE-B.ST,975816359936,312.6000061035156,319.25,2.127317263801418
VOLV-B.ST,665543835648,312.5,327.1000061035156,4.672001953125
NDA-SE.ST,462923792384,130.60000610351562,133.0,1.8376675224518
ASSA-B.ST,366557396992,327.20001220703125,330.0,0.8557419585904833
SEB-A.ST,334498660352,160.64999389648438,165.5,3.0189892858886447
ERIC-B.ST,283189903360,83.83999633789062,84.9800033569336,1.359741255770731
HEXA-B.ST,346687635456,126.1500015258789,129.14999389648438,2.3781152075452323
SWED-A.ST,285043556352,247.39999389648438,253.3000030517578,2.3848056996080946
SAND.ST,300050087936,229.0,239.1999969482422,4.454147138970387
SHB-A.ST,259334012928,125.9000015258789,130.0500030517578,3.2962680505018644
HM-B.ST,242759335936,148.75,151.3000030517578,1.7142877658876052
ESSITY-B.ST,196086169600,280.5,282.79998779296875,0.8199599974933155
ALFA.ST,192320585728,467.79998779296875,465.29998779296875,-0.5344164312176958
EVO.ST,173759954944,806.0,841.2000122070312,4.367247172088244
SAAB-B.ST,131220078592,218.10000610351562,244.60000610351562,12.15038938945396
TELIA.ST,133023293440,33.7400016784668,33.83000183105469,0.266746141406773
SKF-B.ST,105251446784,220.0,231.3000030517578,5.136365023526278
SCA-B.ST,106954121216,148.5500030517578,152.35000610351562,2.5580632606475375
BOL.ST,105313689600,380.8999938964844,385.1000061035156,1.1026548370522342
NIBE-B.ST,90057842688,45.279998779296875,44.66999816894531,-1.3471745291443553
TEL2-B.ST,85427109888,124.30000305175781,123.4000015258789,-0.7240559161564548
GETI-B.ST,57824149504,211.60000610351562,212.3000030517578,0.33081140267063414
ELUX-B.ST,26801684480,95.16000366210938,98.68000030517578,3.699029537204602
KINV-B.ST,26149140480,89.66000366210938,92.19000244140625,2.8217696586667227
SINCH.ST,22465189888,24.93000030517578,26.600000381469727,6.698756742282239
SBB-B.ST,8943428608,5.486000061035156,5.360000133514404,-2.2967540306038012
